vehicle_id,line_number,route_id,nearest_stop,delay_seconds,delay_minutes,timestamp_local,date,hour,dow,is_weekend,season,latitude,longitude
18/166,785K,9785K,9224210,6217,103.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.391048431396484,25.275550842285156
54/1,117,2117,2211292,2497,41.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.176822662353516,24.806407928466797
54/2,207,2207,2112201,7118,118.63,2025-10-15 11:52:38,2025-10-15,11,2,0,autumn,60.218570709228516,24.80775260925293
54/3,232,2232,3170221,-2243,-37.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.21147155761719,24.718034744262695
54/4,168,2168,2511248,-3023,-50.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.18953323364258,24.59800910949707
54/6,149,2149,2411205,2250,37.5,2025-10-15 11:52:30,2025-10-15,11,2,0,autumn,60.14659881591797,24.65877342224121
18/946,173,6173,6100209,-1283,-21.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.03862380981445,24.371740341186523
18/947,173,6173,6040218,-923,-15.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.12477111816406,24.457427978515625
36/176,814,1814,1541104,2437,40.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.21671676635742,25.13274574279785
36/192,313,4313,4150267,637,10.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.261199951171875,24.85501480102539
36/197,413,4413,4150267,1957,32.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.26115036010742,24.855045318603516
36/14,723,4723,4700212,2257,37.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.3248405456543,25.056901931762695
54/10,137,2137,2322211,-1883,-31.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.16548156738281,24.73660659790039
54/14,148,2148,2411205,2857,47.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.146602630615234,24.658802032470703
54/11,119,2119,2214205,-3203,-53.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.169830322265625,24.781173706054688
54/15,166K,2166K,2511218,-1583,-26.38,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.19031524658203,24.59883689880371
22/1237,24,1024,1130101,6157,102.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.175254821777344,24.911266326904297
22/1235,24,1024,1130122,6097,101.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.17582321166992,24.917570114135742
58/820,701,1701,1401115,2497,41.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.28244400024414,25.007009506225586
21/28,713,4713,4930202,5138,85.63,2025-10-15 11:52:38,2025-10-15,11,2,0,autumn,60.269771575927734,25.10329246520996
18/455,236,2236,2632247,6877,114.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.23945617675781,24.708892822265625
22/1061,582,2582,2715202,3637,60.62,2025-10-15 11:52:37,2025-10-15,11,2,0,autumn,60.27592086791992,24.74972152709961
18/166,785K,9785K,9224210,6433,107.22,2025-10-15 11:56:13,2025-10-15,11,2,0,autumn,60.391258239746094,25.276140213012695
54/9,229,2229,2133206,6732,112.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.231475830078125,24.77667999267578
54/1,117,2117,2212214,2532,42.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.17715835571289,24.799800872802734
54/3,232,2232,3170240,-2388,-39.8,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.21058654785156,24.729501724243164
54/4,168,2168,2511213,2952,49.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.19329833984375,24.601625442504883
54/6,149,2149,2411239,2652,44.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.148380279541016,24.661846160888672
18/946,173,6173,6100208,1932,32.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.03606033325195,24.367023468017578
18/947,173,6173,6040227,-828,-13.8,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.13080596923828,24.485490798950195
90/6309,Z,3001Z,9040502,6852,114.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.37928771972656,25.09712791442871
36/176,814,1814,1541109,4092,68.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.21193313598633,25.135204315185547
36/174,31,1031,1304105,6072,101.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.20579528808594,24.87595558166504
36/192,313,4313,4150237,1032,17.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.26361083984375,24.849821090698242
36/197,413,4413,4150267,2172,36.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.26115036010742,24.855045318603516
36/14,723,4723,4720216,2352,39.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.332088470458984,25.060741424560547
54/10,137,2137,2322206,612,10.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.16872787475586,24.74393081665039
54/14,148,2148,2411240,3012,50.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.14828872680664,24.661096572875977
54/11,119,2119,2214207,-2808,-46.8,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.170082092285156,24.773883819580078
54/15,166K,2166K,2522211,-1668,-27.8,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.187400817871094,24.584836959838867
22/1237,24,1024,1130115,6672,111.2,2025-10-15 11:56:12,2025-10-15,11,2,0,autumn,60.1689338684082,24.924863815307617
